school_name,state,city,control,level,enrollment,has_ia_program,ia_program_name,ia_cost_model,ia_price,ia_opt_out,bookstore_partner,publishers_platforms,oer_program,source_url,source_type,verification_date,confidence,notes
Valencia College,FL,,public,4-year,36131,yes,Inclusive Access,per-course,,yes,Independent/In-house,Various; digital via LMS,unknown,https://valenciacollege.edu/students/campus-store/,,2026-03-09,verified,FL state/community college system IA. FL Affordability Counts metric targets $20/cr. Per-course via LMS. Auto-enrolled. Opt-out. Financial aid eligible. Statute requires 45-day advance info.
Rutgers University-New Brunswick,NJ,,public,4-year,35827,yes,First Day,per-course,,yes,Barnes & Noble College,Various; digital via Canvas,yes,https://rutgers.bncollege.com/,,2026-03-09,verified,BN First Day. Digital via Canvas. Below market value. FA applicable. Opt-out available.
California State University-Fullerton,CA,,public,4-year,35502,yes,Inclusive Access,per-course,,yes,Independent/In-house,Various; Titan Direct Access platform,yes,https://www.fullerton.edu/titan-shops/,,2026-03-09,verified,Free digital access first 2 weeks then discounted purchase. SmartAccess+ flat-rate coming Spring 2027.
Tarrant County College District,TX,,public,2-year,35075,yes,TCC Plus (First Day),per-course,,yes,Barnes & Noble College,Various; digital via LMS; also ZTC/OER courses,unknown,https://www.tccd.edu/services/campus-resources/bookstores/tcc-plus/,,2026-03-09,verified,TX CC system. Various IA models by college. Lone Star STAR Bundle $21/cr. HCC First Day/BN + ZTC/OER. TCC Plus/First Day. Auto-enrolled. Opt-out.
California State University-Northridge,CA,,public,4-year,34436,yes,CSUN Ready / myCSUNDigitalAccess,per-course,,yes,Follett,Various; digital via Canvas,unknown,https://www.csun.edu/mycsundigitalaccess,,2026-03-09,verified,Digital materials via Canvas before first day. Opt-out by add/drop. Also has Lending Library for transfers.
University of Florida,FL,,public,4-year,34044,yes,UF All Access,per-course,,opt-in,Follett,Various via Canvas,unknown,https://businessservices.ufl.edu/services/uf-bookstore/uf-all-access/,,2026-03-09,verified,UF All Access; opt-in model; negotiated discounts; auto-charged then opt-out; Canvas delivery
Indiana University-Bloomington,IN,,public,4-year,33995,yes,eTexts,per-course,,yes,Follett,Various; via Unizin Engage + Canvas,yes,https://uits.iu.edu/services/teaching-learning/etexts/index.html,,2026-03-09,verified,IU: eText program since 2009. $13M+ saved. Unlimited printing. Access while enrolled. Unizin Engage via Canvas. Auto-charged opt-out.
University of Illinois Urbana-Champaign,IL,,public,4-year,33889,Yes,Day1Access,per-course discounted,,unknown,Illini Union Bookstore,Various via Canvas,unknown,https://bookstore.illinois.edu; https://illinois.edu,,2026-03-09,likely,Day1Access via Canvas; opt-out during add/drop; used/rental sometimes cheaper
California State University-Long Beach,CA,,public,4-year,33765,Yes,Day 1 Textbook Access (D1TA),"$250/semester (ft), $165 (pt)",,unknown,CSULB Bookstore,Various via Canvas,unknown,https://csulb.bkstr.com; https://csulb.edu,,2026-03-09,likely,"D1DA→D1TA Fall 2024; $250/sem FT, $165 PT; auto-enrolled; opt-out; Canvas delivery"
University of Wisconsin-Madison,WI,,public,4-year,33506,Yes,Inclusive Access (Unizin Engage),per-course (40-80% off),,unknown,University Bookstore,Unizin Engage via Canvas,unknown,https://uwbookstore.com; https://wisc.edu,,2026-03-09,likely,Unizin Engage platform; Canvas delivery; 40-80% off; lifetime access during enrollment; auto-billed; opt-out; student advocacy for optionality
Florida State University,FL,,public,4-year,33368,yes,Inclusive Access / Follett Access,discounted rate; on tuition/fees invoice; auto-enrolled; opt-out ~2nd week,,unknown,Bill's Bookstore / Follett,"Follett Access; textbooks, lab kits, supplies",unknown,https://fsu.edu,,2026-03-09,likely,"Partnership between Student Business Services and Bill's Bookstore. Covers textbooks, labs, supplies."
University of California-San Diego,CA,,public,4-year,33339,Yes,Inclusive Access,per-course,,unknown,UCSD Bookstore,Various,unknown,https://ucsandiegobookstore.com/inclusive-access; https://ucsd.edu,,2026-03-09,likely,UC-wide IA
Texas State University,TX,,public,4-year,33175,yes,BookSmart,flat-rate-semester,$285.50,yes,University Bookstore,Various; digital via LMS,unknown,https://www.txst.edu/booksmart,,,verified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Northern Virginia Community College,VA,,public,2-year,32902,yes,NOVA Books (Follett Access),per-course; auto-enrolled in ia courses; digital day 1; opt-out,,unknown,Follett,Various; Follett; digital,unknown,https://nvcc.edu; https://bkstr.com,,2026-03-09,likely,Follett Access per-course. Part of VCCS system. Auto-enrolled. Digital day 1. Opt-out.
The University of Texas at Arlington,TX,,public,4-year,32659,partial,Course-by-Course Affordable Access + OER,per-course ia; digital auto-billed; opt-out,,unknown,Follett,Various; strong OER via UTA Libraries,unknown,https://uta.edu; https://utsystem.edu; https://bkstr.com/uta,,2026-03-09,likely,IA explored since 2020. UT System day-one access model. Strong OER via libraries.
University of North Texas,TX,,public,4-year,32590,partial,Access Day One (AD1) pilot,course fee; significantly less than market; pilot under review,,unknown,BN College,BN First Day; various; OER via Open Textbook Network,unknown,https://unt.edu; https://bncollege.com/unt,,2026-03-09,likely,2018-2019 pilot. Currently under review. Joined Open Textbook Network 2016.
Texas Tech University,TX,,public,4-year,32414,partial,Digital Direct Access Courses (DDAC),course fee on tuition statement; per-course,,unknown,BN College,Various; digital learning materials,unknown,https://ttu.edu; https://ttuhscep.edu,,2026-03-09,likely,DDAC cost added to tuition. Info on library website 30 days before. OER promoted.
Purdue University Global,IN,,public,4-year,32213,yes,Included in Tuition,included-tuition,,no,Independent/In-house,Various; digital via LMS,unknown,https://www.purdueglobal.edu/,,,verified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
University of California-Los Angeles,CA,,public,4-year,32122,Yes,Bruin One Access + IA,flat rate (undergrad); per-course (grad),,unknown,UCLA Store,"VitalSource, various",unknown,https://uclastore.com/inclusiveaccess; https://ucla.edu,,2026-03-09,likely,Bruin One Access Fall 2024; $2M+ projected savings
University of Michigan-Ann Arbor,MI,,public,4-year,32063,no,BN College partnership (no formal system-wide IA),bn college online bookstore; price comparison tools; library reserves; no formal auto-enrolled ia; etextbook pilot 2011,,unknown,Barnes & Noble College,Various,unknown,https://umich.edu,,2026-03-09,likely,UMich: BN College partnership. No formal system-wide IA auto-enrollment. Price comparison tools. Library reserves. eTextbook pilot 2011.
University of California-Berkeley,CA,,public,4-year,31811,Yes,Inclusive Access,per-course/flat,,unknown,Cal Student Store,Various,unknown,https://berkeley.edu/news/inclusive-access; https://calstudentstore.berkeley.edu,,2026-03-09,likely,Joining UC-wide IA adoption
Brigham Young University,UT,,private_nonprofit,4-year,31642,yes,Inclusive Access / Student First Program,ia: digital added to tuition; opt-out period. student first: textbook rental,,unknown,BYU Store,Various; VitalSource; digital via LMS,unknown,https://byu.edu; https://byuh.edu,,2026-03-09,likely,BYU acknowledges IA model. BYU-Hawaii uses auto-access eBooks via VitalSource. BYU Provo has Student First rental program.
University of California-Davis,CA,,public,4-year,31637,Yes,Inclusive Access + Equitable Access,$169/quarter (ea) + per-course (ia),,unknown,UC Davis Stores,Various via Canvas,unknown,https://ucdavis.edu/uc-davis-stores/inclusive-access,,2026-03-09,likely,IA since Fall 2014 (50-80% off); EA $169/qtr since 2020; GSM pilot $199/qtr Fall 2024; opt-out
University of Washington-Seattle Campus,WA,,public,4-year,31367,yes,Day One Access / Student Choice Digital,per-course; digital via canvas; free trial then purchase; reduced cost; student choice digital program,,unknown,University Book Store,Various; digital via Canvas,unknown,https://ubookstore.com,,2026-03-09,likely,UW: Day One Access / Student Choice Digital. Digital via Canvas. Free trial then purchase. Reduced cost.
San Diego State University,CA,,public,4-year,30991,Yes,Day1Ready (fka Equitable Access),flat rate/credit hour,,unknown,SDSU Bookstore (Follett),Various via Canvas,unknown,https://bkstr.com/sdsubookstore; https://sdsu.edu,,2026-03-09,likely,Pioneer; $14M+ saved; 80% UG served (25K students); Canvas delivery; formerly Equitable Access; opt-out
University of Minnesota-Twin Cities,MN,,public,4-year,30734,yes,Course Works Complete,$279/sem flat fee; all required textbooks+library materials; auto-enrolled undergrad; opt-out; also course works select (per-course); library+oer integration,,unknown,U of M Bookstores,Various; library-licensed; OER,unknown,https://umn.edu,,2026-03-09,likely,UMN: Course Works Complete $279/sem flat fee. Auto-enrolled opt-out. Library+OER integration. Also Course Works Select.
The University of Alabama,AL,,public,4-year,30725,yes,Access Granted,per-course; digital via blackboard day 1; auto-charged after drop deadline; opt-out before deadline,,unknown,UA Supe Store,Various; digital via Blackboard,unknown,https://ua.edu; https://universitysupplystore.com,,2026-03-09,likely,UA: Access Granted. Digital via Blackboard day 1. Auto-charged after drop. Opt-out before deadline.
University of Colorado Boulder,CO,,public,4-year,30414,yes,CU Book Access (equitable access),flat-rate per semester; all required materials; digital via canvas + print pickup; auto-enrolled undergrad; opt-out by drop deadline; billed to tuition,,unknown,CU Book Store,Various; digital via Canvas,unknown,https://colorado.edu; https://cubookstore.com,,2026-03-09,likely,CU Boulder: CU Book Access flat-rate. All required materials. Digital via Canvas. Auto-enrolled opt-out.
University of Maryland-College Park,MD,,public,4-year,30368,yes,First Day,additional course charge on tuition/fees; auto-enrolled; fa eligible,,unknown,Barnes & Noble College,Various; digital via LMS,unknown,https://umd.edu; https://bncollege.com,,2026-03-09,likely,BN First Day model. Cost added to tuition/fees. Library Top Textbooks program separate. Broader campus-wide IA under evaluation.
University of Georgia,GA,,public,4-year,30032,Yes,Course-by-Course Affordable Access,per-course (reduced),,unknown,UGA Bookstore (Follett),Various,unknown,https://uga.bncollege.com; https://uga.edu,,2026-03-09,likely,Follett course-by-course IA; faculty opt-in courses; auto-enrolled students; opt-out; digital+physical; price match
Virginia Polytechnic Institute and State University,VA,,public,4-year,29699,no,No system-wide IA; Low Price Guarantee + OER,no formal ia; textbook low price guarantee matches amazon/competitors; oer supported by libraries; access codes per-course,,unknown,VT Bookstore,Various,unknown,https://vt.edu,,2026-03-09,likely,Virginia Tech: No formal IA program. Textbook Low Price Guarantee. OER supported by libraries. Some courses require access codes.
University of California-Irvine,CA,,public,4-year,29438,Partial,First Day Complete (exploring),per-course (bn),,unknown,Barnes & Noble,Various,unknown,https://uci.edu/bookstore; https://ucirvinestore.com,,2026-03-09,likely,Exploring First Day Complete Solution; BN online store references FDC; not fully campus-wide yet
California State University-Sacramento,CA,,public,4-year,29370,Yes,Follett Access (Hornet Bookstore),per-course,,unknown,Follett (Hornet Bookstore),Various via LMS,unknown,https://bkstr.com/csusacramentostore; https://csus.edu,,2026-03-09,likely,Follett Access; eBooks by first day; opt-out; evaluated since 2019; Hornet Bookstore managed by Follett
The University of Texas at San Antonio,TX,,public,4-year,29151,yes,Inclusive Access / First Day (UT System),per-course; ut system encourages ia as course fees; digital; opt-out,,unknown,Various,Various; digital,unknown,https://utsystem.edu,,2026-03-09,likely,UT System encourages Inclusive Access as course fees. Per-course. Digital. Opt-out.
New York University,NY,,private_nonprofit,4-year,28556,Yes,Follett Access,per-course (bursar),,unknown,Follett,Various,unknown,https://bookstores.nyu.edu/follett-access; https://nyu.edu,,2026-03-09,likely,Follett Access; auto-enrolled; charged to NYU Bursar; digital first-day access; opt-out
Georgia State University,GA,,public,4-year,28415,yes,Panther Book Access Program (PBOK) + Follett Access,per-course; 20-80% below list; auto-enrolled via course fees; opt-out; digital via lms day 1; follett access for physical/digital,,unknown,Follett,Various; digital via LMS,unknown,https://gsu.edu,,2026-03-09,likely,Georgia State: PBOK inclusive access 20-80% savings. Auto-enrolled. Opt-out. Follett Access partnership. Digital via LMS.
San Jose State University,CA,,public,4-year,28190,Yes,First Day (BN),per-course,,unknown,Barnes & Noble,Various via Canvas,unknown,https://bkstr.com/sjsubookstore; https://sjsu.edu,,2026-03-09,likely,BN First Day; Canvas delivery; A.S. Affordable Textbook $200 voucher; library OER; opt-out
College of Southern Nevada,NV,,public,4-year,27817,yes,Inclusive Access Program (BibliU partnership),bundled with tuition; fa eligible; 20-60% savings; auto-enrolled; opt-out,,unknown,BibliU (CSN Campus Store),BibliU platform; various; digital via Canvas,unknown,https://csn.edu; https://bibliu.com,,2026-03-09,likely,BibliU partnership. 20-60% savings. Bundled with tuition. FA eligible. Campus Store powered by BibliU.
Utah Valley University,UT,,public,4-year,27489,yes,Wolverine Access,$250/sem (fall/spring); $150/sem (summer); bundled; digital+print; opt-out,,unknown,UVU Store,Various; digital via Canvas; print via UVU Store,unknown,https://uvu.edu,,2026-03-09,likely,"Wolverine Access: $250/sem flat rate. Digital in Canvas, print at UVU Store. Auto-enrolled. Opt-out via Canvas."
University of Cincinnati-Main Campus,OH,,public,4-year,27188,yes,Inclusive Access / includED,course charge or tuition; auto-enrolled; opt-out,,unknown,Follett,Various; includED model via Blackboard; digital,unknown,https://bkstr.com/uc; https://ohiolink.edu,,2026-03-09,likely,IA Online and includED model. Digital via Blackboard. Significant savings. Medical campus also participates.
Oregon State University,OR,,public,4-year,27038,no,OER/Ecampus open textbooks (no formal IA),no formal auto-enrolled ia; oer promoted via ecampus; textbook lending library; hb 2871 compliance; no-cost/low-cost markings,,unknown,Beaver Store,OER; Various,unknown,https://oregonstate.edu,,2026-03-09,likely,OSU: No formal IA. OER/Ecampus open textbooks. Textbook Lending Library. HB 2871 compliance.
Louisiana State University and Agricultural & Mechanical College,LA,,public,4-year,26455,no,VitalSource / Library e-books program,library e-books since 2014 (free to students); vitalsource dental curriculum; guild discount textbooks via mylsu,,unknown,LSU Bookstore,VitalSource; Various,unknown,https://lsu.edu,,2026-03-09,likely,LSU: Library e-book program since 2014. VitalSource dental school. Guild discounts. No formal auto-enrolled IA found for main campus.
University of South Carolina-Columbia,SC,,public,4-year,26430,yes,First Day Complete / Inclusive Access (varies by campus),$25/cr (uscl fdc); $23/cr (aiken off-the-shelf); auto-enrolled; opt-out; physical rental+digital via blackboard/lms; upstate ali; billed w/ tuition,,unknown,Barnes & Noble College / Upstate Bookstore,Various; digital via Blackboard,unknown,https://sc.edu; https://usca.edu; https://uscupstate.edu,,2026-03-09,likely,"USC system: FDC $25/cr (Lancaster), Off-the-Shelf $23/cr (Aiken), IA (Salkehatchie/Upstate). Auto-enrolled opt-out. Digital via Blackboard."
The University of Texas Rio Grande Valley,TX,,public,4-year,26402,yes,Inclusive Access / First Day (UT System),per-course; ut system encourages ia as course fees; digital; opt-out,,unknown,Various,Various; digital,unknown,https://utsystem.edu,,2026-03-09,likely,UT System encourages Inclusive Access as course fees. Per-course. Digital. Opt-out.
Austin Community College District,TX,,public,4-year,26378,yes,Inclusive Access / First Day (varies by college),"per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by college (e.g. $21/cr lone star star bundle, hcc first day/bn, tcc plus)",,unknown,Various (BN / Follett / campus),Various; digital via LMS; also ZTC/OER courses,unknown,https://lonestar.edu; https://hccs.edu; https://tccd.edu,,2026-03-09,likely,TX CC system. Various IA models by college. Lone Star STAR Bundle $21/cr. HCC First Day/BN + ZTC/OER. TCC Plus/First Day. Auto-enrolled. Opt-out.
George Mason University,VA,,public,4-year,26339,yes,BN College First Day,per-course; lowest publisher price; digital via canvas day 1; opt-out during drop period only; additional course charge,,unknown,Barnes & Noble College,Various; digital via Canvas,unknown,https://gmu.edu; https://bncollege.com,,2026-03-09,likely,GMU: BN First Day. Lowest publisher price. Digital via Canvas. Opt-out during drop period only.
Iowa State University,IA,,public,4-year,25537,Yes,Immediate Access ONE,$259/sem flat-rate (fall 2024),,unknown,ISU Book Store,Various via Canvas,unknown,https://isubookstore.com/immediate-access-one; https://iastate.edu,,2026-03-09,likely,Immediate Access since 2012; evolved to Immediate Access ONE Fall 2024; $259/sem flat UG; $69 summer/winter; Canvas delivery; opt-out 10 days; digital-first+physical
North Carolina State University at Raleigh,NC,,public,4-year,24999,yes,Course Ready (Spring 2025) / All-In (since 2018),$279+tax/sem flat rate for full-time undergrads; all required digital materials; opt-out; via lms day 1,,unknown,Campus bookstore,Various; digital via LMS,unknown,https://ncsu.edu,,2026-03-09,likely,NC State: Course Ready equitable access $279/sem flat rate Spring 2025. Previously All-In opt-in since 2018. Opt-out.
The University of Tennessee-Knoxville,TN,,public,4-year,24957,yes,Total Access (formerly Inclusive Access),flat-fee subscription per term; all required materials; digital via canvas day 1; physical when no digital; auto-enrolled undergrad; opt-out; grad: course access per-item,,unknown,Vol Shop,Various; via Canvas + Unizin Engage,unknown,https://utvolshop.com; https://utk.edu,,2026-03-09,likely,UTK: Total Access flat-fee subscription. Evolved from IA. Auto-enrolled undergrad. Opt-out. Grad: Course Access per-item. Via Canvas.
University of Utah,UT,,public,4-year,24850,yes,Inclusive Access + Day 1 Books Access Program,$259/sem flat rate (fall 2025); digital+print; auto-enrolled; opt-out,,unknown,Campus Store,Various; digital via Canvas; physical pickup,unknown,https://utah.edu,,2026-03-09,likely,Day 1 Books: $259/sem flat rate for all undergrads. Digital via Canvas. Also runs traditional IA.
Auburn University,AL,,public,4-year,24782,yes,All Access (one of largest IA programs in US),per-course; digital day 1; auto-enrolled; charged on e-bill first billing cycle; opt-out by 15th class day; one of largest ia programs in us,,unknown,AU Bookstore,Various; digital,unknown,https://aubookstore.com; https://auburn.edu,,2026-03-09,likely,Auburn: All Access. One of largest IA programs in US. Auto-enrolled. Charged on e-bill. Opt-out by 15th day.
Colorado State University-Fort Collins,CO,,public,4-year,24344,yes,Day One Access (formerly Inclusive Access),per-course; digital+courseware via lms day 1; auto-enrolled; opt-out before deadline; cost posted per course,,unknown,CSU Bookstore,Various; digital via LMS,unknown,https://colostate.edu,,2026-03-09,likely,CSU: Day One Access (formerly IA). Digital+courseware via LMS. Auto-enrolled opt-out.
Full Sail University,FL,,private_forprofit,4-year,24172,yes,All-inclusive Tuition,included-tuition,,no,Independent/In-house,Various; digital via LMS,unknown,https://www.fullsail.edu/,,,verified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Collin County Community College District,TX,,public,4-year,24159,yes,Inclusive Access / First Day (varies by college),"per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by college (e.g. $21/cr lone star star bundle, hcc first day/bn, tcc plus)",,unknown,Various (BN / Follett / campus),Various; digital via LMS; also ZTC/OER courses,unknown,https://lonestar.edu; https://hccs.edu; https://tccd.edu,,2026-03-09,likely,TX CC system. Various IA models by college. Lone Star STAR Bundle $21/cr. HCC First Day/BN + ZTC/OER. TCC Plus/First Day. Auto-enrolled. Opt-out.
University of Arkansas,AR,,public,4-year,24001,yes,Inclusive Access / First Day,ebook via blackboard; reduced cost; charged to account; opt-out,,unknown,Barnes & Noble College,BN First Day; various; eBook via Blackboard,unknown,https://uark.edu; https://bncollege.com,,2026-03-09,likely,IA/First Day (formerly Inclusive Access). Piloted with significant savings. eBooks via Blackboard.
NUC University,PR,,private_forprofit,4-year,23564,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
Mt San Antonio College,CA,,public,2-year,22907,no,N/A,traditional purchase; small/specialty institution; no formal inclusive access program found,,unknown,Various / campus store,Various,unknown,,,,unverified,Small private/specialty/for-profit institution in CA. No formal inclusive access or equitable access program found. May use traditional textbook purchasing.
American River College,CA,,public,2-year,22837,yes,Zero Textbook Cost (ZTC) / Inclusive Access (varies by college),"mixed: ztc degrees (no textbook cost via oer), some colleges have ia/ea per-unit charges; $115m state ztc funding; libretexts system contract; opt-out where ia exists; new first-day access regs july 2025",,unknown,Various,OER / LibreTexts / Various publishers,unknown,https://cccco.edu; https://asccc-oeri.org,,2026-03-09,likely,CA CC system: $115M ZTC program. OER-focused. Some colleges also have IA (e.g. Merced $25/unit EA). New regs July 2025 mandate first-day access. ASCCC concerns about IA opt-out models. ZTC pathways by Fall 2026.
